,text,AG
0,easyjet quiere duplicar el número de mujeres piloto' verás tú para aparcar el avión httptconulkmx,0
1,el gobierno debe crear un control estricto de inmigración en las zonas fronterizas con colombia por q después del querrán venir en masa,0
2,yo veo a mujeres destruidas por acoso laboral y callejero otras con depresión debido a violación sexual o maltrato físico y conocí a varias que se suicidaron por este tipo de comportamientos machistas vas a seguir con tu show pobre httpstcojemegvih,0
3, yo soy respetuoso con los demás sólamente les recuerdo lo que son y si son escoria no es culpa mía   ¡claro que lo sé ¡por quién me tomas,0
4,antonio caballero y como ser de mal gusto e ignorante a la vez claro que no es lo mismo acoso sexual y violación pero hay varias conductas que componen la violencia sexual,0
5, cuánto hijo de puta sobra en el mundo,0
6,pablo casado debería estudiar un máster en inmigración httpstcopczgpjdg,0
7,vos me haces eso te pego una patada en la cara httpstcodrquurwc,0
8, detienen en guatapanal motocicleta y nacional haitiano indocumentado httpstcoqsmtkddqk,0
9, llora te lomereces por zorra,1
10,padres indocumentados realizaron una huelga de hambre para pedir ser liberados httpstcozpubtkurk httpstcozrentrvkq,0
11,no sé porque hay personas que piensan que todos los inmigrantes son delincuentes,0
12,a tomi alegre jakskksjsj  cállate q tdv estoy de duelo puta httpstcoilhpozck,0
13, callate gallina puta y cntala cmo quieras bolso culo facil jajajaaj hijooo,1
14,albondigas casi al estilo de las fodongas pero en el gabacho,0
15,todos  ppk presidente de lujo perú no va al mundial  já ilusos,0
16,el juez cita a declarar a la menor que denunció abusos por parte de jugadores de la httpstcovdmxsq httpstcokbtiyipwol,0
17,vamoooo la puta madre se lo merecía tanto esfuerzo y haber pasado tantos teléfonos necesitábamos este descanso ,0
18,pd a ver si cierran de una puta vez tv que no sé todavía qué servicio público ofrece para que merezca dinero de nuestros impuestos o solo hace daño que roben unos,0
19,yo estaba claro que esta vida de trabajador inmigrante fundido máquina iba a ser difícil y es verdad es difícil jajaja,0
20,mira de vd estoy hasta la polla ya no aguanto más tonterías,0
21, no tienes ni puta ideala melodia es mi novia es sevillistauna puta mas,1
22, diappoler jajaja cállate pepe niño polla si me han llenado de notificaciónes jajajajaja,0
23,mojigatas moralinas neta por estar en contra del acoso sexual y la violación en el trabajo,0
