,Category,text
0,0,soy el clint eastwood de los puentes de madison en todas las putas historias de amor que me han tocado 
1,0,actualmente ya pasó de moda la pucha joto ahora sólo quedamos los verdaderos seguidores los que amamos este estilo de vida 
2,0,es cierto esto y no me refiero a lo que dijo ni al tweet sino a<>están tratando de sacarlo del programa 
3,0,vuela pega y esquiva la neta está de la vergaaaa pero es pegajosa 
4,0,mejor puto disfraz de la noche por tercer año consecutivo morros 
5,0,una verga para dejarte sin aliento y bien abierto te la tragas 
6,1,la que se veía súper mal era demi lovato porque se mamo con el escote y el peinado le quedo feo 
7,1,ya se convirtió la k en virgen maria ahora si ya esta mas loca 
8,0, y yo que creí que tuiter se trataba de ingenio y ahora nos salen con caracateres no mamar 
9,0,hoy en día ya casi nadie se muere por vih se mueren por pendejos por no hacerme chequeos continuos sabiendo lo putos que son 
10,0,me quedé sin novia sin amante amp sin ex todo en el mismo puto fin de semana 
11,0,por que critican tanto a las putas si bien que les gustan 
12,0,woou rulo invitayo tambien quiero mamar esa panocha deliciosa y clavarsela 
13,0,acosas a una chava en el metro y lloras cuando te ponen en la madre marica 
14,1,ay joto tú ahora en lo único que vienes peor que yo es en lo distraído 
15,0,iba a escribir un tuit disculpándome por todos a los que no les respondí wa en los días que no sirvió mi cel y nadie me putas escribió 
16,0,me acorde de cuando me internaron y que diego le enseño a mi mama todas las fotos feas que le mando ya son bien befis ellos 
17,0,te llevaría conmigo pero me esta llevando la verga y no quiero llevarte allá 
18,0,esa chica un poco loca que solía estar cantando por el barrio esa chica tan risueña con el pelo alborotado 
19,0,con el “agua loca” de que nos ganaron… ¡nos ganaron 
20,0,si hubiera una materia que se llamara como valer verga en la vida ya la hubiera exentado 
21,0,hasta que te diste cuenta que no te vez bien con esas cosas feas 
22,1,sólo los putos le ponen azúcar a su café porque les sabe “amargo” pinches maricones 
23,1, lo que tu no respetas es al país hdp 
24,0, pinches greñas feas te quiero amigo saludos 
25,0,de una vez ve poniendo mi foto en tu ofrenda porque ya se te murió tu pendeja 
26,0,quien tiene una rica verga con lechita y un culo para mí 
27,1,se quejan por las sentadillas del gimnasio pero qué tal cuándo se dan de sentones en alguna verga ni rezongan pinches viejas 
28,1,me cagan los weyes mamados por chocho que se sienten con el derecho de dejar regado todo lo que usaron en el gym putos artificiales 
29,0,hoy logré una asana nueva medio loca en cuanto a equilibrio y fuerza en el abdomen me siento una hippie bien ruda y feliz 
30,0,si quieren donar ropa en buen estado no putos harapos para morelos puebla y oaxaca ponganse en contacto con 
31,1, yo le hubiera soltado un vergazo en la cara para reventarle esos lentes al marica 
32,0,hoy me traje mi camisa de leñador por si alguien no se había dado cuenta que soy súper gay 
33,1,que espanto con el joto ese que generaliza a los heterosexuales por imbeciles como el es que odian a la comunidad 
34,0, estamos feas disculpe 
35,0,me acaban de reafirmar que estoy bien gorda así horrible 
36,0,cuando lo hago soy loco joto ese tipo de cosas creo que esto llegará a su final en las siguientes generaciones de hombres 
37,0,asi es bien coludidos haciendose de la vista gorda 
38,0,la verdad enojada es bien cabrona pues se metieron con lo que mas quiere que es luis 
39,0,que bonito dia y que agradable mañana perfecta para valer verga 
40,0,seguramente el brujo de apizaco está con todas las daifas meselinas meretrices prostitutas suri… 
41,1, realicen operativos para que dejen de robar el los camiones pinche bola de pndejos inútiles 
42,0,las bromas tontas siempre han ofendido la diferencia es que antes era en la intimidad de la sobremesa ahora se evidencia la ignorancia 
43,1,como mamá verga y se da de centones la muy puta y lo mejor sin condón se la chingo 
44,1,lo dice alguien que sin duda le va a un equipo marica espero no seas amer… 
45,1,hah pinche grosera marica tienes que amar los rebotes tocaron universo paralelo 
46,0,qué uno venga a clases con estas putas inundaciones y el profesor no venga 
47,1,todos los días tengo que llegar a un lugar donde una gorda pseudoprofesionista me está observando y analizado porque no le gusta que opine 
48,1,qué onda con las señoras taquilleras del metro parece que se comieron al diablo pinches locas groseras hdp si son servicio público mueran 
49,0, luchona diria yo jajajajaja 
50,1, que feas patas pero lo más feo que tiene es el alma mala entraña hipócrita 
51,0,todos los hombres que conozco han dicho que si fueran mujeres serían bien putas una lo es y no les gusta pinche doble moral 
52,0,de qué putas sirve que graben en el ultra si sus audios están re culeros 
53,0, tantas cosas feas dentro del corazón 
54,0,jeovani el puto hamo 
55,0,soy gorda o te la pongo gorda 
56,1, qqq cínica hdp vos tampoco hablaste no diste la cara con nisman y la trajedía d once sinverguenza 
57,1,girardi es la persona as estúpida del mundo la verga como putas dejas por chat tanto a robertson maldito pedazo de imbécil hijo de puta 
58,0,jaja tú estás más loca y eso dice mucho también te quiero espero echar chisme de nuevo pronto 
59,0, la luchona jajajaja creí que me ibas a besar y solo te subiste al carro a ver si no traía nada de una vieja jajajajaja ‍ 
60,1,no digas mamadas aguilera es un pendejo que hasta sus putos propios solos se le olvidan 
61,0,ok esta bien que habrán biblioteca a las que les den cobijitas pero que les den hasta desayuno y todavía hablen mal de cem que putos 
62,0,en dos meses el se va al pito y lo único que me preocupa es que debo ya comenzar a pensar en el avatar para el que putos nervios 
63,0,a las conferencias tienes que ir voluntariamente por gusto no por qué te obligan putos 
64,0,necesito conocer a alguien de mi escuela o algo que también este re loca por ruben yo no puedo seguir fangirleando sola 'v 
65,0, como luchar contra la corrupción de los oficiales no sólo nos enfoquemos en la de los ciudadanos esa moneda tiene dos caras feas 
66,1,si de verdad te valiera verga no hubieras borrado el tuit maricón hijo de tu puta madre 
67,0,que delicia ver a una mujer en cuatro recibiendo y chupando verga rt si quieres más videos 
68,0,ay chuchito perdóname por esta vida tan loca‍ 
69,1,que flojera tener novio quieren saber todo lo qué haces y opinar sobre ello si ni a mis padres les hacía caso que te voy a pelar a ti hdp 
70,0,gorda nivel me subo al elevador y se baja 
71,0,“prométeme que me vas a abrazar y no me vas a soltar” alguien que aún no sabe lo loca que estoy 
72,1,díganle al maricón de que ya no es mi chile 
73,1,el tránsito de la cdmx no es tan culero si lo comparamos con tus celos pinche loca 
